City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,al bawiti,28.3492,28.8659,32.29,30,0,3.25,EG,1723100575
260,kapuskasing,49.4169,-82.4331,17.0,72,100,2.06,CA,1723100503
261,pointe aux piments,-20.0628,57.5131,26.95,69,0,5.83,MU,1723100577
262,vilyuchinsk,52.9306,158.4028,24.15,79,93,5.01,RU,1723100578
263,galesong,-5.3166,119.3661,33.01,59,12,3.47,ID,1723100579
264,kargopol',61.5071,38.9456,19.81,56,41,2.66,RU,1723100580
265,bhag,29.0415,67.8239,37.82,47,0,2.5,PK,1723100581
266,al muwayh,22.4333,41.7583,34.22,28,98,5.64,SA,1723100583
267,souillac,-20.5167,57.5167,26.86,61,20,4.63,MU,1723100584
268,hithadhoo,-0.6,73.0833,27.44,78,100,5.2,MV,1723100585
269,masterton,-40.9597,175.6575,9.94,90,100,2.65,NZ,1723100586
270,malaga,36.7202,-4.4203,29.43,51,0,1.03,ES,1723100588
271,antsiranana,-12.2787,49.2917,28.42,34,20,9.26,MG,1723100589
272,agadez,19.75,10.25,32.29,10,90,4.54,NE,1723100590
273,loango,-4.6719,11.8312,21.81,88,75,4.12,CG,1723100591
274,port elizabeth,-33.918,25.5701,13.16,94,20,3.09,ZA,1723100308
275,madalena,41.2162,-8.3345,20.3,90,0,0.25,PT,1723100593
276,hilo,19.7297,-155.09,25.16,90,45,0.45,US,1723100594
277,belogorsk,50.9158,128.4611,26.69,50,61,1.18,RU,1723100595
278,ceeldheer,3.8488,47.1806,28.14,56,90,8.94,SO,1723100596
279,vorgashor,67.5833,63.95,15.75,46,7,2.23,RU,1723100598
280,thompson,55.7435,-97.8558,9.09,81,20,3.09,CA,1723100599
281,bumbesti-jiu,45.1667,23.4,25.27,45,0,1.41,RO,1723100600
282,xuddur,4.1213,43.8894,26.23,55,98,8.54,SO,1723100601
283,schroeder,-26.4125,-49.0731,19.08,92,100,1.13,BR,1723100602
284,hlusk,52.903,28.6845,20.02,67,0,2.3,BY,1723100603
285,la'ie,21.6477,-157.9253,26.67,80,1,1.34,US,1723100604
286,nemuro,43.3236,145.575,18.46,100,100,3.83,JP,1723100605
287,gislaved,57.3044,13.5408,18.11,75,100,1.99,SE,1723100606
288,ola,59.5833,151.2833,14.33,82,37,3.4,RU,1723100607
289,levuka,50.1834,-105.4011,5.84,67,5,1.17,CA,1723100608
290,kapa'a,22.0752,-159.319,25.18,81,20,5.14,US,1723100609
291,jiexiu,37.0244,111.9125,30.07,59,100,1.15,CN,1723100610
292,tabas,33.5959,56.9244,41.23,6,0,3.13,IR,1723100611
293,chonchi,-42.6128,-73.8092,1.73,97,100,0.54,CL,1723100613
